,Senior Citizen,Partner,Dependents,Tenure,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Cluster
3319,No,No,No,2,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.75,Green
3322,Yes,No,No,9,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.45,Green
3325,No,No,No,4,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.65,Green
3326,Yes,No,No,38,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),70.15,Purple
3330,Yes,No,No,51,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.8,Purple
3332,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.3,Orange
3334,No,No,No,41,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3,Purple
3338,No,No,No,12,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.4,Green
3340,Yes,No,No,5,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.15,Green
3344,No,No,No,10,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.15,Green
3349,No,Yes,No,11,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,Green
3350,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,Orange
3351,No,No,No,16,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.9,Orange
3352,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.45,Green
3356,No,Yes,Yes,4,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.85,Orange
3357,No,No,Yes,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,59.2,Orange
3360,No,No,No,13,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.2,Green
3362,No,No,No,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,Orange
3364,No,Yes,No,21,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.9,Green
3371,No,Yes,Yes,11,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.25,Orange
3373,Yes,No,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.45,Green
3374,Yes,No,No,2,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.85,Orange
3380,Yes,Yes,No,1,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,Green
3383,No,Yes,No,6,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,Green
3384,No,Yes,Yes,4,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.75,Green
3385,No,No,No,12,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.05,Green
3402,No,No,No,4,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,Green
3408,No,No,No,4,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,Orange
3410,No,No,No,3,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),53.4,Orange
3411,Yes,Yes,No,53,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.9,Purple
3415,No,Yes,Yes,68,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,83.0,Purple
3423,No,No,Yes,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.6,Orange
3424,No,No,No,10,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,Green
3426,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.8,Green
3428,Yes,Yes,No,51,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.8,Purple
3431,No,Yes,No,24,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,Purple
3438,No,Yes,No,18,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7,Green
3439,Yes,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),104.15,Purple
3448,No,Yes,Yes,4,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),61.45,Green
3455,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.55,Green
3458,No,No,No,26,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.8,Green
3462,No,No,No,7,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.2,Green
3467,Yes,No,No,5,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.4,Green
3473,No,Yes,No,42,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.15,Purple
3479,No,No,No,4,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.3,Orange
3485,No,No,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.25,Green
3490,No,Yes,Yes,8,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,51.05,Orange
3494,No,Yes,Yes,9,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.35,Green
3495,Yes,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,Green
3498,No,No,No,43,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,Purple
3499,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.9,Orange
3516,No,No,No,3,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,43.3,Orange
3517,No,Yes,No,70,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.5,Purple
3524,Yes,No,No,11,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.8,Green
3525,Yes,Yes,No,50,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,95.05,Purple
3526,Yes,No,No,5,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,50.35,Orange
3527,No,Yes,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.6,Green
3528,No,No,No,16,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.7,Orange
3532,No,No,No,15,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.45,Orange
3534,No,No,Yes,46,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105.2,Purple
3539,No,No,No,8,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.15,Orange
3544,No,Yes,No,31,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,93.8,Purple
3550,No,No,No,32,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.2,Purple
3551,No,No,Yes,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,Green
3555,No,No,No,20,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.25,Green
3561,No,No,No,26,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.5,Green
3562,Yes,No,No,5,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.8,Green
3565,No,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,50.75,Orange
3567,No,Yes,Yes,14,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.65,Green
3577,No,No,No,36,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,65.4,Purple
3580,No,No,Yes,9,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,72.9,Green
3586,No,No,No,5,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,40.0,Orange
3587,Yes,No,No,9,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,Green
3591,No,No,No,2,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,86.25,Green
3592,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Orange
3593,No,No,No,8,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.1,Green
3595,Yes,No,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.2,Green
3596,No,No,No,3,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.35,Orange
3600,Yes,Yes,Yes,51,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.2,Purple
3603,No,No,No,2,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.85,Orange
3608,No,No,No,39,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.25,Purple
3610,No,No,No,12,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.15,Green
3615,Yes,Yes,Yes,26,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.75,Purple
3617,Yes,Yes,No,18,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,48.35,Orange
3621,No,Yes,Yes,2,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.4,Orange
3630,No,No,No,4,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.95,Orange
3631,Yes,Yes,No,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.55,Orange
3637,No,No,No,9,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,Orange
3638,Yes,Yes,No,2,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),50.15,Orange
3640,Yes,Yes,No,29,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.9,Purple
3652,Yes,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.25,Orange
3662,No,No,No,9,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.15,Orange
3666,No,Yes,Yes,50,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.4,Purple
3671,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.1,Green
3672,No,Yes,No,54,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),70.15,Purple
3673,No,No,No,42,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.75,Purple
3674,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.8,Orange
3679,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.1,Orange
3680,No,Yes,No,9,No phone service,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,40.65,Orange
3681,Yes,Yes,No,46,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,Purple
3682,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.1,Green
3686,No,No,No,13,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.0,Green
3687,No,Yes,Yes,19,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),100.0,Green
3689,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.15,Green
3690,No,No,No,24,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.15,Orange
3694,No,Yes,Yes,67,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.75,Purple
3696,No,Yes,No,6,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.15,Orange
3700,No,No,Yes,20,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.4,Orange
3702,Yes,No,No,20,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,79.15,Green
3713,Yes,Yes,No,46,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.4,Purple
3716,No,Yes,No,11,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.0,Green
3721,No,No,No,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,Orange
3725,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.8,Green
3726,No,No,No,16,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),89.05,Green
3727,No,No,No,3,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.6,Green
3730,No,Yes,No,57,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,Purple
3737,No,No,No,5,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,50.6,Orange
3743,No,No,Yes,4,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.35,Orange
3745,No,No,No,7,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.25,Green
3746,No,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.95,Green
3749,Yes,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,Green
3755,No,No,No,4,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.05,Green
3756,No,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.45,Orange
3759,No,No,No,7,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.35,Green
3763,No,Yes,No,4,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.35,Green
3766,Yes,No,No,1,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.8,Orange
3771,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.05,Green
3772,No,Yes,No,1,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,Green
3773,No,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.2,Orange
3775,Yes,No,No,41,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.4,Purple
3779,Yes,Yes,Yes,66,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),79.4,Purple
3784,Yes,No,No,35,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,Purple
3785,Yes,Yes,No,10,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,89.8,Green
3788,No,Yes,No,54,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),109.75,Purple
3790,No,No,No,2,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,Orange
3792,Yes,No,No,26,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,91.25,Green
3796,No,No,No,15,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,49.1,Orange
3799,No,No,No,31,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),65.25,Green
3801,Yes,No,No,18,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.45,Green
3803,No,Yes,No,61,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,94.1,Purple
3805,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.65,Green
3807,No,Yes,No,24,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,Purple
3815,No,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.25,Green
3821,Yes,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.2,Green
3829,Yes,Yes,No,43,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.0,Purple
3830,No,Yes,No,4,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,Green
3831,Yes,Yes,No,25,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,89.05,Green
3834,No,Yes,Yes,57,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),70.1,Purple
3837,No,No,No,4,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,105.65,Green
3841,Yes,Yes,No,36,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.5,Purple
3843,Yes,Yes,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.85,Green
3844,No,No,No,35,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),85.95,Purple
3845,No,No,No,4,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,Green
3849,No,Yes,No,58,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.45,Purple
3864,No,No,No,30,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,Purple
3868,No,Yes,Yes,21,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.05,Green
3871,No,No,No,3,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.55,Green
3875,Yes,Yes,Yes,41,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,111.95,Purple
3877,No,Yes,Yes,21,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,55.95,Orange
3879,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.75,Orange
3887,No,No,No,11,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.95,Green
3888,No,No,No,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),80.15,Green
3890,No,Yes,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.25,Purple
3905,No,No,No,3,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),35.2,Orange
3906,No,Yes,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.8,Green
3910,No,No,No,47,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.4,Purple
3911,No,No,No,18,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,49.4,Orange
3917,Yes,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.1,Green
3918,No,Yes,Yes,20,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.2,Green
3919,No,No,No,6,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),93.55,Green
3923,No,No,No,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.85,Green
3924,No,Yes,Yes,48,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,82.05,Purple
3927,No,Yes,No,3,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.55,Orange
3932,Yes,No,No,2,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.55,Green
3939,No,No,Yes,1,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,78.65,Green
3942,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.9,Orange
3945,No,No,No,3,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,34.25,Orange
3946,No,No,No,9,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,58.5,Orange
3950,Yes,No,No,49,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.2,Purple
3953,Yes,No,No,6,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.4,Green
3956,No,Yes,No,6,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.3,Green
3958,No,Yes,No,16,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),73.85,Green
3962,Yes,Yes,No,7,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.55,Green
3971,No,No,No,25,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.75,Orange
3975,Yes,No,No,20,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,Green
3976,No,No,No,4,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,Orange
3980,No,No,No,28,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.7,Purple
3983,No,No,No,1,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.25,Orange
3987,No,No,No,11,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,Green
3991,No,No,No,4,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.5,Green
3994,Yes,Yes,No,54,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),101.5,Purple
3995,No,No,Yes,28,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.9,Green
3999,Yes,No,No,2,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,Green
4005,No,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.05,Orange
4012,No,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,50.55,Orange
4019,No,No,No,14,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.55,Green
4021,No,Yes,Yes,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.5,Orange
4025,No,No,No,4,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.8,Green
4027,No,Yes,No,20,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.45,Orange
4045,No,No,No,14,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),71.0,Green
4052,Yes,No,No,30,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,40.3,Orange
4056,No,No,No,3,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,50.6,Orange
4058,No,Yes,Yes,40,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.85,Purple
4059,No,Yes,Yes,2,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,65.7,Green
4062,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.5,Green
4063,No,No,No,10,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.85,Green
4065,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,Orange
4073,No,Yes,Yes,14,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,65.45,Green
4074,Yes,Yes,No,58,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,Purple
4078,No,Yes,Yes,22,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),67.5,Green
4081,No,No,No,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,Green
4082,No,Yes,No,49,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,Purple
4083,Yes,Yes,No,68,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.2,Purple
4084,No,No,No,1,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.05,Green
4088,No,No,No,7,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,73.6,Green
4089,No,No,No,9,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.75,Green
4098,No,No,No,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.2,Orange
4106,Yes,Yes,No,24,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.55,Green
4109,No,No,No,2,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.05,Orange
4121,Yes,Yes,No,27,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.55,Purple
4128,No,No,No,57,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,39.3,Orange
